99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K23119 ADS2; very-long-chain acyl-lipid omega-9 desaturase [EC:1.14.19.75]
K22876 ambI3; 3-[(Z)-2-isocyanoethenyl]-1H-indole synthase [EC:1.14.20.11]
K22877 isnB; 3-[(E)-2-isocyanoethenyl]-1H-indole synthase [EC:1.14.20.12]
K22996 ambO5, welO5; hapalindole-type alkaloid chlorinase [EC:1.14.20.14]
K06072 DOHH; deoxyhypusine monooxygenase [EC:1.14.99.29]
K21713 lpmo; lytic chitin monoxygenase [EC:1.14.99.53]
K19356 E1.14.99.54; lytic cellulose monooxygenase (C1-hydroxylating) [EC:1.14.99.54]
K00516 E1.14.99.55; lytic starch monooxygenase [EC:1.14.99.55]
K22032 K22032; lytic cellulose monooxygenase (C4-dehydrogenating) [EC:1.14.99.56]
K22033 K22033; lytic cellulose monooxygenase (C4-dehydrogenating) [EC:1.14.99.56]
K21481 mhuD; heme oxygenase (mycobilin-producing) [EC:1.14.99.57]
K23752 cmlA; 4-amino-L-phenylalanyl-[CmlP-peptidyl-carrier-protein] 3-hydroxylase [EC:1.14.99.65]
K24704 cmlI; alpha-N-dichloroacetyl-p-aminophenylserinol N-oxygenase [EC:1.14.99.67]
K24705 aurF; 4-aminobenzoate N-oxygenase [EC:1.14.99.68]
K10253 DODA; DOPA 4,5-dioxygenase [EC:1.14.99.-]
K00493 XANG; xanthocillin biosynthesis cytochrome P450 monooxygenase [EC:1.14.-.-]
K15005 CYP28; cytochrome P450 family 28 [EC:1.14.-.-]
K15006 CYP309; cytochrome P450 family 309 [EC:1.14.-.-]
K15007 CYP313; cytochrome P450 family 313 [EC:1.14.-.-]
K24116 scmK; N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-]
K00518 sodN; nickel superoxide dismutase [EC:1.15.1.1]
K05919 dfx; superoxide reductase [EC:1.15.1.2]
K00520 merA; mercuric reductase [EC:1.16.1.1]
K00521 E1.16.1.7; ferric-chelate reductase [EC:1.16.1.7]
K00597 MTRR; methionine synthase reductase [EC:1.16.1.8]
K07229 yqjH; ferric-chelate reductase (NADPH) [EC:1.16.1.9]
K18915 feR; ferric-chelate reductase [NAD(P)H] [EC:1.16.1.10]
K02217 ftnA, ftn; ferritin [EC:1.16.3.2]
K06324 cotA; spore coat protein A, manganese oxidase [EC:1.16.3.3]
K22348 moxA; manganese oxidase [EC:1.16.3.3]
K22349 mnxG; manganese oxidase [EC:1.16.3.3]
K22350 mcoA; manganese oxidase [EC:1.16.3.3]
K14588 cueO; cuproxidase [EC:1.16.3.4]
K20150 cyc2; iron:rusticyanin reductase [EC:1.16.9.1]
K16183 ramA; [Co(II) methylated amine-specific corrinoid protein] reductase [EC:1.16.99.1]
K22338 hylA; formate dehydrogenase (NAD+, ferredoxin) subunit A [EC:1.17.1.11]
K22339 hylB; formate dehydrogenase (NAD+, ferredoxin) subunit B [EC:1.17.1.11]
K22340 hylC; formate dehydrogenase (NAD+, ferredoxin) subunit C [EC:1.17.1.11]
K22341 fdhF2; formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]
K21676 luh; lupanine 17-hydroxylase (cytochrome c) [EC:1.17.2.2]
K21677 hpnE; hydroxysqualene dehydroxylase [EC:1.17.8.1]
K24452 pinA; (+)-pinoresinol hydroxylase [EC:1.17.9.2]
K24453 pinB; (+)-pinoresinol hydroxylase [EC:1.17.9.2]
K24122 ctmAB; limonene dehydrogenase [EC:1.17.99.8]
K24716 atcA; 3-oxo-Delta1-steroid hydratase/dehydrogenase large subunit [EC:1.17.99.11]
K24717 atcB; 3-oxo-Delta1-steroid hydratase/dehydrogenase medium subunit [EC:1.17.99.11]
K24718 atcC; 3-oxo-Delta1-steroid hydratase/dehydrogenase small subunit [EC:1.17.99.11]
K00528 fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K21567 fnr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K12265 norW; nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]
K18916 ptxD; phosphonate dehydrogenase [EC:1.20.1.1]
K00537 arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1]
K22547 HAC1; arsenate reductase [EC:1.20.4.1]
K18917 mrx1; mycoredoxin [EC:1.20.4.3]
K03741 arsC; arsenate reductase (thioredoxin) [EC:1.20.4.4]
K10670 grdA; glycine/sarcosine/betaine reductase complex component A [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K10671 grdE; glycine reductase complex component B subunit alpha and beta [EC:1.21.4.2]
K10672 grdB; glycine reductase complex component B subunit gamma [EC:1.21.4.2]
K21576 grdD; glycine/sarcosine/betaine reductase complex component C subunit alpha [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K21577 grdC; glycine/sarcosine/betaine reductase complex component C subunit beta [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K21583 grdG; sarcosine reductase complex component B subunit alpha [EC:1.21.4.3]
K21584 grdF; sarcosine reductase complex component B subunit beta [EC:1.21.4.3]
K21578 grdI; betaine reductase complex component B subunit alpha [EC:1.21.4.4]
K21579 grdH; betaine reductase complex component B subunit beta [EC:1.21.4.4]
K06139 pqqE; PqqA peptide cyclase [EC:1.21.98.4]
K06937 E1.21.98.5; tetraether lipid synthase [EC:1.21.98.5]
K04068 nrdG; anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]
K04069 pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]
K04070 pflX; putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]
K20037 cutD; choline trimethylamine-lyase activating enzyme [EC:1.97.1.-]
K23300 qrcA; menaquinone reductase, multiheme cytochrome c subunit [EC:1.97.-.-]
K11933 hcr; NADH oxidoreductase Hcr [EC:1.-.-.-]
K12136 hyfA; hydrogenase-4 component A [EC:1.-.-.-]
K12137 hyfB; hydrogenase-4 component B [EC:1.-.-.-]
K12138 hyfC; hydrogenase-4 component C [EC:1.-.-.-]
K12139 hyfD; hydrogenase-4 component D [EC:1.-.-.-]
K12140 hyfE; hydrogenase-4 component E [EC:1.-.-.-]
K12141 hyfF; hydrogenase-4 component F [EC:1.-.-.-]
K12142 hyfG; hydrogenase-4 component G [EC:1.-.-.-]
K12144 hyfI; hydrogenase-4 component I [EC:1.-.-.-]
K12145 hyfJ; hydrogenase-4 component J [EC:1.-.-.-]
K14189 dltE; uncharacterized oxidoreductase [EC:1.-.-.-]
K15976 K15976; putative NAD(P)H nitroreductase [EC:1.-.-.-]
K22122 GLIF; gliotoxin biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]
K23320 ACLB; aspirochlorine biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]
K23321 ACLL; aspirochlorine biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]
K23322 ACLO; aspirochlorine biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]
K23632 ASAD; deoxyaspergillic acid monooxygenase [EC:1.-.-.-]
K23633 ASAB; aspergillic acid hydroxylase [EC:1.-.-.-]
K22545 mtf2; fatty-acid O-methyltransferase [EC:2.1.1.15]
K22590 ind1; indolepyruvate C-methyltransferase [EC:2.1.1.47]
K00573 E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
K00574 cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
K20215 dph5; diphthine synthase [EC:2.1.1.98]
K21551 tsrM; tryptophan 2-C-methyltransferase [EC:2.1.1.106]
K18801 GXM; glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
K00592 RBCMT; [ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]
K21549 IMT1; inositol 4-methyltransferase [EC:2.1.1.129]
K00598 tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]
K22438 TMT1; trans-aconitate 3-methyltransferase [EC:2.1.1.145]
K21553 CHMT; isoliquiritigenin 2'-O-methyltransferase [EC:2.1.1.154]
K21552 HOL; methyl halide transferase [EC:2.1.1.165]
K22439 OMT; tricetin 3',4',5'-O-trimethyltransferase [EC:2.1.1.169]
K18883 ROMT; tricin synthase [EC:2.1.1.175]
K16215 mrsA; 2-ketoarginine methyltransferase [EC:2.1.1.243]
K16219 NTMT1, METTL11A, NTM1; protein N-terminal methyltransferase [EC:2.1.1.244]
K16217 gppmt; geranyl diphosphate 2-C-methyltransferase [EC:2.1.1.255]
K21541 TMT-1_2; squalene methyltransferase [EC:2.1.1.262]
K21542 TMT-3; botryococcene C-methyltransferase [EC:2.1.1.263]
K16868 tehB; tellurite methyltransferase [EC:2.1.1.265]
K21482 BAMT; benzoate O-methyltransferase [EC:2.1.1.273]
K21484 BSMT1; benzoate/salicylate 1-O-methyltransferase [EC:2.1.1.273 2.1.1.274]
K21483 SAMT; salicylate 1-O-methyltransferase [EC:2.1.1.274]
K18885 GAMT1; gibberellin A9 O-methyltransferase [EC:2.1.1.275]
K18886 GAMT2; gibberellin A4 carboxyl methyltransferase [EC:2.1.1.276]
K21485 AAMT; anthranilate O-methyltransferase [EC:2.1.1.277]
K18848 IAMT1; indole-3-acetate O-methyltransferase [EC:2.1.1.278]
K21457 mppJ; phenylpyruvate C(3)-methyltransferase [EC:2.1.1.281]
K19579 NTM1B, METTL11B; protein N-terminal monomethyltransferase [EC:2.1.1.299]
K21458 E2.1.1.300; pavine N-methyltransferase [EC:2.1.1.300]
K21459 cypM; cypemycin N-terminal methyltransferase [EC:2.1.1.301]
K21377 aziB2; 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase [EC:2.1.1.302]
K21460 sfmM2; L-tyrosine C(3)-methyltransferase [EC:2.1.1.304]
K21427 mmcR; mitomycin 6-O-methyltransferase [EC:2.1.1.316]
K20238 E2.1.1.317; sphingolipid C9-methyltransferase [EC:2.1.1.317]
K21426 CMT; [trehalose-6-phosphate synthase]-L-cysteine S-methyltransferase [EC:2.1.1.318]
K22546 FAMT; juvenile hormone-III synthase [EC:2.1.1.325]
K21282 ind7; N-demethylindolmycin N-methyltransferase [EC:2.1.1.328]
K21936 chuW; anaerobilin synthase [EC:2.1.1.342]
K22309 olsG; ornithine lipid N-methyltransferase [EC:2.1.1.344]
K22577 E2.1.1.347; (+)-O-methylkolavelool synthase [EC:2.1.1.347]
K23078 mqnK, menK; menaquinone C8-methyltransferase [EC:2.1.1.350]
K23153 ncmP; nocamycin O-methyltransferase [EC:2.1.1.351]
K23394 aurI; demethylluteothin O-methyltransferase [EC:2.1.1.353]
K23973 sodC; pre-sodorifen synthase [EC:2.1.1.363]
K24288 meT1; MMP 1-O-methyltransferase [EC:2.1.1.365]
K24666 dsyB; 2-hydroxy-4-(methylsulfanyl)butanoate S-methyltransferase [EC:2.1.1.373]
K24667 htm; 2-heptyl-1-hydroxyquinolin-4(1H)-one methyltransferase [EC:2.1.1.374]
K25222 mmp10; [methyl coenzyme M reductase]-L-arginine C-5-methyltransferase [EC:2.1.1.379]
K25595 sznE, stzE; arginine Nomega-methyltransferase [EC:2.1.1.381]
K25600 mtcB; L-carnitine---corrinoid protein Co-methyltransferase [EC:2.1.1.383]
K25917 mtoA; [methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein]---tetrahydromethanopterin methyltransferase [EC:2.1.1.384]
K26847 mtpB; proline betaine --- corrinoid protein Co-methyltransferase [EC:2.1.1.388]
K00614 CSKMT, METTL12; citrate synthase lysine N-methyltransferase [EC:2.1.1.-]
K05303 K05303; O-methyltransferase [EC:2.1.1.-]
K07444 ypsC; putative N6-adenine-specific DNA methylase [EC:2.1.1.-]
K21402 noeI; 2-O-methyltransferase [EC:2.1.1.-]
K22123 GLIN; gliotoxin biosynthesis N-methyltransferase [EC:2.1.1.-]
K22703 IGMT; hydroxy-3-indolylmethylglucosinolate O-methyltransferase [EC:2.1.1.-]
K22704 hpnR; hopanoid C-3 methylase [EC:2.1.1.-]
K22705 hpnP; hopanoid C-2 methylase [EC:2.1.1.-]
K22741 PSOC; pseurotin biosynthesis methyltransferase [EC:2.1.1.-]
K22843 ETFBKMT, METTL20; ETFB lysine methyltransferase [EC:2.1.1.-]
K22882 K22882; thymidylate synthase [EC:2.1.1.-]
K23323 GLIM, ACLM_U; gliotoxin/aspirochlorine biosynthesis O-methyltransferase [EC:2.1.1.-]
K22306 gpgP; glucosyl-3-phosphoglycerate phosphatase [EC:3.1.3.85]
K07053 E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
K23984 amiO; amicoumacin phosphatase [EC:3.1.3.107]
K07015 yqeG; putative phosphatase [EC:3.1.3.-]
K08296 sixA; phosphohistidine phosphatase [EC:3.1.3.-]
K09116 K09116; damage-control phosphatase, subfamily I [EC:3.1.3.-]
K21403 PXYLP1; 2-phosphoxylose phosphatase [EC:3.1.3.-]
K22904 PLPP6; presqualene diphosphate phosphatase [EC:3.1.3.-]
K23114 ARMT1; damage-control phosphatase, subfamily III [EC:3.1.3.-]
K24854 K24854; damage-control phosphatase, subfamily II, stand-alone protein [EC:3.1.3.-]
K01124 GDPD2; glycerophosphoinositol inositolphosphodiesterase [EC:3.1.4.43]
K19179 GDE1; glycerophosphoinositol glycerophosphodiesterase [EC:3.1.4.44]
K13243 dos, pdeO; c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13244 pdeL; c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K26148 K26148; c-di-GMP phosphodiesterase [EC:3.1.4.52]
K26149 K26149; c-di-GMP phosphodiesterase [EC:3.1.4.52]
K22927 gdpP; cyclic-di-AMP phosphodiesterase [EC:3.1.4.59]
K01128 SMPDL3; sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-]
K07037 pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]
K07814 K07814; cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
K25135 K25135; cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
K01133 betC; choline-sulfatase [EC:3.1.6.6]
K25227 sdsA1; linear primary-alkylsulfatase [EC:3.1.6.21]
K01138 K01138; uncharacterized sulfatase [EC:3.1.6.-]
K12374 ARSD_F_H; arylsulfatase D/F/H [EC:3.1.6.-]
K12375 ARSI_J; arylsulfatase I/J [EC:3.1.6.-]
K12376 ARSK; arylsulfatase K [EC:3.1.6.-]
K14607 SULF; extracellular sulfatase Sulf [EC:3.1.6.-]
K22313 E3.1.7.12; (+)-kolavelool synthase [EC:3.1.7.12]
K24668 NES; neryl diphosphate diphosphatase [EC:3.1.7.13]
K01150 endA; deoxyribonuclease I [EC:3.1.21.1]
K11994 DNASE1; deoxyribonuclease-1 [EC:3.1.21.1]
K03424 tatD; TatD DNase family protein [EC:3.1.21.-]
K11995 DNASE1L; deoxyribonuclease-1-like protein [EC:3.1.21.-]
K01161 E3.1.25.1; deoxyribonuclease (pyrimidine dimer) [EC:3.1.25.1]
K05985 rnmV; ribonuclease M5 [EC:3.1.26.8]
K16640 ssh7; DNA-binding protein 7 [EC:3.1.27.-]
K01174 nuc; micrococcal nuclease [EC:3.1.31.1]
K01175 ybfF; esterase [EC:3.1.-.-]
K06362 rapD; response regulator aspartate phosphatase D [EC:3.1.-.-]
K06367 rapI; response regulator aspartate phosphatase I [EC:3.1.-.-]
K06368 rapJ; response regulator aspartate phosphatase J [EC:3.1.-.-]
K07503 nucS; endonuclease [EC:3.1.-.-]
K11750 frsA; esterase FrsA [EC:3.1.-.-]
K14648 ENDOU, PP11; poly(U)-specific endoribonuclease [EC:3.1.-.-]
K18398 ENPP5; ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]
K18399 BPHL; valacyclovir hydrolase [EC:3.1.-.-]
K20542 bcsZ; endoglucanase [EC:3.2.1.4]
K01180 E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]
K22245 INUA; inulinase [EC:3.2.1.7]
K01181 E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]
K01185 E3.2.1.17; lysozyme [EC:3.2.1.17]
K20845 txyA; endo-1,3-beta-xylanase [EC:3.2.1.32]
K08254 E3.2.1.59; glucan endo-1,3-alpha-glucosidase [EC:3.2.1.59]
K22253 mta; glucan 1,4-alpha-maltotetraohydrolase [EC:3.2.1.60]
K01215 dexB; glucan 1,6-alpha-glucosidase [EC:3.2.1.70]
K01216 bglS; licheninase [EC:3.2.1.73]
K25108 E3.2.1.73; licheninase [EC:3.2.1.73]
K22276 NEG1; glucan endo-1,6-beta-glucosidase [EC:3.2.1.75]
K22277 EXGB; glucan endo-1,6-beta-glucosidase [EC:3.2.1.75]
K01219 E3.2.1.81; beta-agarase [EC:3.2.1.81]
K18650 pehX; exo-poly-alpha-galacturonosidase [EC:3.2.1.82]
K20846 cgkA; kappa-carrageenase [EC:3.2.1.83]
K01224 E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]
K20847 g2d; glucan 1,6-alpha-isomaltosidase [EC:3.2.1.94]
K17624 engCP, engBF, endoEF; endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]
K06113 abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]
K22078 PGGHG, ATHL1; protein-glucosylgalactosylhydroxylysine glucosidase [EC:3.2.1.107]
K22279 VH; vicianin beta-glucosidase [EC:3.2.1.119]
K05991 E3.2.1.123; endoglycosylceramidase [EC:3.2.1.123]
K15538 MANEA; glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130]
K21575 susA; neopullulanase [EC:3.2.1.135]
K15924 xynC; glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]
K01235 aguA; alpha-glucuronidase [EC:3.2.1.139]
K18651 XGCA; oligoxyloglucan reducing-end-specific cellobiohydrolase [EC:3.2.1.150]
K18576 XEG; xyloglucan-specific endo-beta-1,4-glucanase [EC:3.2.1.151]
K18577 EBM; mannosylglycoprotein endo-beta-mannosidase [EC:3.2.1.152]
K20848 1-FEH; fructan beta-(2,1)-fructosidase [EC:3.2.1.153]
K20849 6-FEH; fructan beta-(2,6)-fructosidase [EC:3.2.1.154]
K18578 CEL74A; xyloglucan-specific exo-beta-1,4-glucanase [EC:3.2.1.155]
K15531 rexA; oligosaccharide reducing-end xylanase [EC:3.2.1.156]
K20850 cgiA; iota-carrageenase [EC:3.2.1.157]
K20851 agaA; alpha-agarase [EC:3.2.1.158]
K20852 E3.2.1.161; beta-apiosyl-beta-glucosidase [EC:3.2.1.161]
K20853 cglA; lambda-carrageenase [EC:3.2.1.162]
K18579 6GAL; galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]
K20833 SGUS; baicalin-beta-D-glucuronidase [EC:3.2.1.167]
K25649 mgh; mannosylglycerate hydrolase [EC:3.2.1.170]
K18580 RHGA; rhamnogalacturonan hydrolase [EC:3.2.1.171]
K15532 yteR, yesR; unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]
K20829 celS; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.176]
K01811 xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]
K15925 XYL1; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]
K20830 por; beta-porphyranase [EC:3.2.1.178]
K20831 ugl; gellan tetrasaccharide unsaturated glucuronyl hydrolase [EC:3.2.1.179]
K18581 ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]
K20832 EN3GAL; galactan endo-beta-1,3-galactanase [EC:3.2.1.181]
K18205 hypBA1; non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]
K20834 F26G; protodioscin 26-O-beta-D-glucosidase [EC:3.2.1.186]
K18206 hypBA2; beta-L-arabinobiosidase [EC:3.2.1.187]
K20835 P60; avenacosidase [EC:3.2.1.188]
K20836 bgpA; ginsenosidase type III [EC:3.2.1.191]
K21065 E3.2.1.197; beta-1,2-mannosidase [EC:3.2.1.197]
K21132 K21132; alpha-mannan endo-1,2-alpha-mannanase / glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.198 3.2.1.130]
K15922 yihQ; sulfoquinovosidase [EC:3.2.1.199]
K21606 endo_I; endo-chitodextinase [EC:3.2.1.202]
K22307 E3.2.1.204; 1,3-alpha-isomaltosidase [EC:3.2.1.204]
K22308 E3.2.1.205; isomaltose glucohydrolase [EC:3.2.1.205]
K22425 OEGLU; oleuropein beta-glucosidase [EC:3.2.1.206]
K23086 ggH; glucosylglycerate hydrolase [EC:3.2.1.208]
K23979 MNL1; endoplasmic reticulum Man8GlcNAc2 1,2-alpha-mannosidase [EC:3.2.1.210]
K24100 E3.2.1.213; galactan exo-1,6-beta-galactobiohydrolase (non-reducing end) [EC:3.2.1.213]
K24289 E3.2.1.214; exo beta-1,2-glucooligosaccharide sophorohydrolase (non-reducing end) [EC:3.2.1.214]
K25603 E3.2.1.215; 3-O-alpha-D-galactosyl-alpha-L-arabinofuranosidase [EC:3.2.1.215]
K25766 E3.2.1.216; kojibiose hydrolase [EC:3.2.1.216]
K25767 nag31; exo-acting protein-alpha-N-acetylgalactosaminidase [EC:3.2.1.217]
K26288 E3.2.1.218; alpha-3'-ketoglucosidase [EC:3.2.1.218]
K26289 palQ; palatinase [EC:3.2.1.219]
K27194 mmpH; MMP endo-(1,4)-3-O-methyl-alpha-D-mannosidase [EC:3.2.1.221]
K27195 E3.2.1.222; funoran endo-beta-hydrolase [EC:3.2.1.222]
K01238 SUN; SUN family beta-glucosidase [EC:3.2.1.-]
K03931 ygjK; glucosidase [EC:3.2.1.-]
K18786 E2.4.1.321; cellobionic acid phosphorylase [EC:2.4.1.321]
K21350 E2.4.1.329; sucrose 6(F)-phosphate phosphorylase [EC:2.4.1.329]
K21355 ggp; 1,2-alpha-glucosylglycerol phosphorylase [EC:2.4.1.332]
K21298 E2.4.1.333; 1,2-beta-oligoglucan phosphorylase [EC:2.4.1.333]
K20885 K20885; beta-1,2-mannobiose phosphorylase / 1,2-beta-oligomannan phosphorylase [EC:2.4.1.339 2.4.1.340]
K22426 UGT74AC1; mogroside IE synthase [EC:2.4.1.350]
K22597 E2.4.1.352; glucosylglycerate phosphorylase [EC:2.4.1.352]
K22950 UGT71K3; acylphloroglucinol glucosyltransferase [EC:2.4.1.358]
K23079 E2.4.1.359; glucosylglycerol phosphorylase (configuration-retaining) [EC:2.4.1.359]
K23154 CGT; 2-hydroxyflavanone C-glucosyltransferase [EC:2.4.1.360]
K23395 E2.4.1.361; GDP-mannose:di-myo-inositol-1,3'-phosphate beta-1,2-mannosyltransferase [EC:2.4.1.361]
K23396 brsB; alpha-(1->3) branching sucrase [EC:2.4.1.362]
K23725 iroB; enterobactin C-glucosyltransferase [EC:2.4.1.369]
K22721 CSG1, SUR1, CSH1; inositol phosphorylceramide mannosyltransferase catalytic subunit [EC:2.4.1.370]
K23974 gtfJ; mutansucrase [EC:2.4.1.372]
K23981 E2.4.1.373; alpha-(1->2) branching sucrase [EC:2.4.1.373]
K23982 MTP1_2; beta-1,2-mannooligosaccharide synthase [EC:2.4.1.374]
K25230 yjiC; NDP-glycosyltransferase [EC:2.4.1.384]
K25763 ctsY; isomaltosyltransferase [EC:2.4.1.387]
K25764 E2.4.1.388; glucosylgalactose phosphorylase [EC:2.4.1.388]
K25919 E2.4.1.389; solabiose phosphorylase [EC:2.4.1.389]
K26285 gtfB; 4,3-alpha-glucanotransferase [EC:2.4.1.390]
K26286 E2.4.1.391; beta-1,2-glucosyltransferase [EC:2.4.1.391]
K26287 E2.4.1.392; 3-O-beta-D-glucopyranosyl-beta-D-glucuronide phosphorylase [EC:2.4.1.392]
K27184 gtfC; 4,6-alpha-glucanotransferase (linear substrates/linear products) [EC:2.4.1.394]
K27185 gtfO, gtfA; reuteransucrase [EC:2.4.1.395]
K27186 gtfD; 4,6-alpha-glucanotransferase (linear and branched substrates, branched products) [EC:2.4.1.396]
K00754 bshA; L-malate glycosyltransferase [EC:2.4.1.-]
K11257 FUT11; galactoside 3-L-fucosyltransferase 11 [EC:2.4.1.-]
K24103 UGT3A; UDP-glycosyltransferase [EC:2.4.1.-]
K08728 E2.4.2.6; nucleoside deoxyribosyltransferase [EC:2.4.2.6]
K00774 PARP16; poly [ADP-ribose] polymerase 16 [EC:2.4.2.30]
K15258 PARP6_8; poly [ADP-ribose] polymerase 6/8 [EC:2.4.2.30]
K15259 PARP7S; poly [ADP-ribose] polymerase 7/11/12/13 [EC:2.4.2.30]
K15260 PARP9; poly [ADP-ribose] polymerase 9 [EC:2.4.2.30]
K15261 PARP10_14_15; poly [ADP-ribose] polymerase 10/14/15 [EC:2.4.2.30]
K19977 ART5; ADP-ribosyltransferase 5 [EC:2.4.2.31]
K05951 draT; NAD+---dinitrogen-reductase ADP-D-ribosyltransferase [EC:2.4.2.37]
K13930 mdcB; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K21299 arsAB; nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase [EC:2.4.2.55]
K03813 modD; molybdenum transport protein [EC:2.4.2.-]
K17251 pglB; undecaprenyl-diphosphooligosaccharide---protein glycotransferase [EC:2.4.99.19]
K13670 pimF; putative glycosyltransferase [EC:2.4.-.-]
K19422 epsD; glycosyltransferase EpsD [EC:2.4.-.-]
K19427 epsJ; glycosyltransferase EpsJ [EC:2.4.-.-]
K26816 GLT1D1; glycosyltransferase 1 domain-containing protein 1 [EC:2.4.-.-]
K05812 DTWD2, tapT; tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]
K25070 DTWD1; tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]
K22871 tzs; adenylate dimethylallyltransferase [EC:2.5.1.27]
K18114 NDPS1; dimethylallylcistransferase [EC:2.5.1.28]
K21300 HSS1; homospermidine synthase (spermidine-specific) [EC:2.5.1.45]
K00809 DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]
K09134 flA; adenosyl-fluoride synthase [EC:2.5.1.63]
K15527 K15527; cysteate synthase [EC:2.5.1.76]
K18787 ACL5; thermospermine synthase [EC:2.5.1.79]
K21153 salL; adenosyl-chloride synthase [EC:2.5.1.94]
K21151 SSL-1; presqualene diphosphate synthase [EC:2.5.1.103]
K21678 hpnD; presqualene diphosphate synthase [EC:2.5.1.103]
K21152 notF, brePT; brevianamide F prenyltransferase (deoxybrevianamide E-forming) [EC:2.5.1.109]
K21339 SIRD; 4-O-dimethylallyl-L-tyrosine synthase [EC:2.5.1.122]
K21340 fnq26; flaviolin linalyltransferase [EC:2.5.1.123]
K21341 fur7; 6-linalyl-2-O,3-dimethylflaviolin/7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase [EC:2.5.1.124 2.5.1.125]
K07057 bpsA; N4-bis(aminopropyl)spermidine synthase [EC:2.5.1.128]
K21590 PT1L; 2-acylphloroglucinol 4-prenyltransferase [EC:2.5.1.136]
K21605 PT2; 2-acyl-4-prenylphloroglucinol 6-prenyltransferase [EC:2.5.1.137]
K21587 ClPT1; coumarin 8-geranyltransferase [EC:2.5.1.138]
K06898 larB; pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]
K13292 lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
K22841 famD2; 3-geranyl-3-[(Z)-2-isocyanoethenyl]indole synthase [EC:2.5.1.146]
K23155 crtEb; lycopene elongase/hydratase (flavuxanthin-forming) [EC:2.5.1.149]
K15911 E2.5.1.153; adenosine tuberculosinyltransferase [EC:2.5.1.153]
